Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
gifts for boss female birthday	     1.000	     1.000	     1.000	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
lucky boss mug	     2.000	     1.000	     0.500	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss middle finger mug	     1.000	     1.000	     1.000	     0.540	     0.540	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mugs	   546.000	    19.000	     0.035	    11.910	    14.610	    99.600	     0.147	    86.270	     6.000	     8.000	   433.333	     4.000	     4.000	    47.810	     0.000
boss lady mug	 11981.000	   114.000	     0.010	    42.960	    80.330	   226.690	     0.354	   216.960	    18.000	    19.000	  1116.670	    18.000	     1.000	   212.810	     0.000
boss mugs humor	     1.000	     1.000	     1.000	     0.660	     0.660	     9.600	     0.069	    14.550	     1.000	     1.000	   100.000	     1.000	     0.000	     9.600	     0.000
funny boss coffee mugs	   490.000	     8.000	     0.016	     6.350	     6.350	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss gifts for men	  1707.000	    16.000	     0.009	     6.100	    11.220	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss lady	     1.000	     1.000	     1.000	     0.640	     0.640	     9.600	     0.067	    15.000	     1.000	     1.000	   100.000	     1.000	     0.000	     9.600	     0.000
gift for my boss	    84.000	     3.000	     0.036	     1.210	     1.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
goodbye gifts for boss	    37.000	     8.000	     0.216	     1.890	     5.230	    12.060	     0.434	    10.050	     1.000	     1.000	    50.000	     1.000	     0.000	    12.060	     0.000
