Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
best boss coffee cup 8oz	     1.000	     1.000	     1.000	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss female for office	     2.000	     1.000	     0.500	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
starbucks coffee mug boss	     1.000	     1.000	     1.000	     0.230	     0.230	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug 15oz	     2.000	     1.000	     0.500	     0.830	     0.830	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gifts for him	    52.000	     3.000	     0.058	     1.340	     1.340	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss day	   189.000	     3.000	     0.016	     2.180	     2.180	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
national boss day gifts for her	  1279.000	    10.000	     0.008	     7.270	     8.060	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
second best boss	     2.000	     1.000	     0.500	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day gift	   564.000	     3.000	     0.005	     1.780	     1.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for leaving boss	     1.000	     1.000	     1.000	     0.750	     0.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss coffee mugs	     1.000	     1.000	     1.000	     0.500	     0.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gifts for men	  5961.000	    43.000	     0.007	    12.700	    30.960	   104.570	     0.296	    48.150	     7.000	     8.000	   240.470	     8.000	     0.000	   104.570	     0.000
gifts for a boss leaving	     1.000	     1.000	     1.000	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss ever	     1.000	     1.000	     1.000	     0.990	     0.990	    12.600	     0.079	    12.730	     1.000	     1.000	   100.000	     1.000	     0.000	    12.600	     0.000
worlds best boss ever mug	     1.000	     1.000	     1.000	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day coffee mug	   150.000	     5.000	     0.033	     4.180	     4.180	    25.720	     0.163	    28.840	     2.000	     2.000	   200.000	     2.000	     0.000	    25.720	     0.000
mugs for cuople best boss	     1.000	     1.000	     1.000	     0.190	     0.190	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized mug for boss	     3.000	     1.000	     0.333	     0.360	     0.360	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
trump boss mugs funny	     4.000	     1.000	     0.250	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best effin boss gifts	     2.000	     2.000	     1.000	     1.260	     1.260	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day gifts for men	  2839.000	    13.000	     0.005	     6.850	    11.670	    12.990	     0.898	     2.250	     1.000	     1.000	    16.670	     1.000	     0.000	    12.990	     0.000
coffee mug boss man	     3.000	     2.000	     0.667	     1.810	     1.810	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bad boss mugs	     2.000	     1.000	     0.500	     0.920	     0.920	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's best boss 15 oz.	     1.000	     1.000	     1.000	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss flask	     6.000	     1.000	     0.167	     0.770	     0.770	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever glass	     1.000	     1.000	     1.000	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss female	     1.000	     1.000	     1.000	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
great bday gifts for boss	     2.000	     1.000	     0.500	     0.250	     0.250	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day gifts funny	     7.000	     1.000	     0.143	     0.920	     0.920	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
national boss day gifts for him	   269.000	     5.000	     0.019	     4.270	     4.270	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss gifts f	     1.000	     1.000	     1.000	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
#1 boss dandermufflin mug	     2.000	     1.000	     0.500	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever gifts for women	    12.000	     3.000	     0.250	     2.410	     2.410	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss bitchs gifts	     3.000	     1.000	     0.333	     0.480	     0.480	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss daddy mug	     1.000	     1.000	     1.000	     0.200	     0.200	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gifts for women	  5373.000	    35.000	     0.007	     8.220	    28.490	    26.240	     1.086	     4.330	     2.000	     2.000	    26.670	     2.000	     0.000	    26.240	     0.000
gifts for your female boss	     1.000	     1.000	     1.000	     0.490	     0.490	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
happy bosses day gifts	   230.000	     9.000	     0.039	     5.820	     7.440	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
michael scott's cup world's greatest boss	     2.000	     1.000	     0.500	     0.420	     0.420	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mug xlarge	     1.000	     1.000	     1.000	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
national bosses day gifts	   402.000	     6.000	     0.015	     4.450	     4.450	    13.120	     0.339	    18.740	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
boss day mugs	   152.000	     7.000	     0.046	     4.980	     5.780	    12.600	     0.459	    12.600	     1.000	     1.000	   100.000	     1.000	     0.000	    12.600	     0.000
bosses day gifts wonder woman	     2.000	     1.000	     0.500	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss 15oz coffee cup	     1.000	     1.000	     1.000	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss soup mug	     1.000	     1.000	     1.000	     0.560	     0.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss's day gift	  2040.000	    13.000	     0.006	     8.420	    11.170	    38.710	     0.289	    34.810	     3.000	     3.000	   250.000	     3.000	     0.000	    38.710	     0.000
mug for my boss	     2.000	     1.000	     0.500	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
my favorite boss mug	     1.000	     1.000	     1.000	     0.590	     0.590	    12.600	     0.047	    21.360	     1.000	     1.000	   100.000	     1.000	     0.000	    12.600	     0.000
the real boss coffee mug	     1.000	     1.000	     1.000	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
appreciation gifts boss	     1.000	     1.000	     1.000	     0.500	     0.500	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss stuff	     2.000	     1.000	     0.500	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee mug pack of 2	     3.000	     1.000	     0.333	     0.930	     0.930	    12.990	     0.072	    13.970	     1.000	     1.000	   100.000	     1.000	     0.000	    12.990	     0.000
bosses day gifts for manager	     2.000	     1.000	     0.500	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for bosses day male	     4.000	     1.000	     0.250	     0.200	     0.200	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
national boss day coffee mug	     3.000	     1.000	     0.333	     0.840	     0.840	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
national women bosses day gifts	     1.000	     1.000	     1.000	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
nice boss day mug	     1.000	     1.000	     1.000	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
thank you gift for boss man	     1.000	     1.000	     1.000	     0.490	     0.490	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
16 oz boss mug	     1.000	     1.000	     1.000	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gifts for men funny	    11.000	     1.000	     0.091	     0.940	     0.940	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss's day gifts for her	    40.000	     1.000	     0.025	     0.950	     0.950	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day gift ideas	   795.000	     3.000	     0.004	     1.890	     1.890	    12.990	     0.145	    13.120	     1.000	     1.000	   100.000	     1.000	     0.000	    12.990	     0.000
blue mug for male boss	     4.000	     1.000	     0.250	     0.610	     0.610	    12.990	     0.047	    21.300	     1.000	     1.000	   100.000	     0.000	     1.000	     0.000	     0.000
mug for a boss	     2.000	     1.000	     0.500	     0.940	     0.940	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
lakers best boss	     1.000	     1.000	     1.000	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
you are the best boss ever plaque	     2.000	     1.000	     0.500	     1.200	     1.200	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bess boss mug	     1.000	     1.000	     1.000	     0.940	     0.940	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss's day gift ideas for him	     5.000	     1.000	     0.200	     0.980	     0.980	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
nail boss mug	     8.000	     1.000	     0.125	     0.900	     0.900	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
national bosses day gifts for her	    15.000	     1.000	     0.067	     0.890	     0.890	    12.990	     0.069	    14.600	     1.000	     1.000	   100.000	     1.000	     0.000	    12.990	     0.000
best boss day mugs for girls	     4.000	     1.000	     0.250	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss decor	     3.000	     1.000	     0.333	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee travel mug	    21.000	     3.000	     0.143	     0.820	     2.460	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gag gifts db	     1.000	     1.000	     1.000	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady travel mug	    65.000	     2.000	     0.031	     2.020	     2.020	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss nutrition facts coffee mugs	     2.000	     2.000	     1.000	     1.820	     1.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss's day gift ideas	  1162.000	     6.000	     0.005	     3.580	     3.580	    10.760	     0.333	    16.060	     1.000	     1.000	   100.000	     1.000	     0.000	    10.760	     0.000
ceramic mug with lid best boss	     2.000	     1.000	     0.500	     0.900	     0.900	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss day	    25.000	     3.000	     0.120	     2.390	     2.390	    13.880	     0.172	    19.830	     1.000	     1.000	   100.000	     1.000	     0.000	    13.880	     0.000
gift for national bosses day	     4.000	     2.000	     0.500	     1.800	     1.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
girl boss coffee mug	    16.000	     2.000	     0.125	     1.330	     1.330	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized gifts national boss day gifts	     1.000	     1.000	     1.000	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
women boss travel mug	     4.000	     1.000	     0.250	     0.930	     0.930	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
womens greatest boss gift	     2.000	     1.000	     0.500	     0.500	     0.500	    12.990	     0.038	    25.980	     1.000	     1.000	   100.000	     1.000	     0.000	    12.990	     0.000
worlds favorite boss mug	     1.000	     1.000	     1.000	     0.280	     0.280	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds second best boss	     7.000	     1.000	     0.143	     0.490	     0.490	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss beer mugs	     7.000	     1.000	     0.143	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee mug with quotes	     2.000	     1.000	     0.500	     1.000	     1.000	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee mugs yellow	     2.000	     1.000	     0.500	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day funny gifts	    13.000	     1.000	     0.077	     1.000	     1.000	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gift male	     4.000	     2.000	     0.500	     0.620	     1.240	    13.120	     0.095	    10.580	     1.000	     1.000	    50.000	     1.000	     0.000	    13.120	     0.000
boss mugs same day pick up	     1.000	     1.000	     1.000	     0.480	     0.480	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss' day gifts	   260.000	     2.000	     0.008	     1.670	     1.670	    13.120	     0.127	    14.910	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
bosses day gifts for men funny	    23.000	     1.000	     0.043	     0.990	     0.990	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day mugs purple	     2.000	     1.000	     0.500	     0.120	     0.120	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug why are bosses like diapers	     1.000	     1.000	     1.000	     0.640	     0.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny boss day gifts	    30.000	     1.000	     0.033	     0.900	     0.900	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny greatest boss mugs	     5.000	     1.000	     0.200	     0.980	     0.980	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss days	     1.000	     1.000	     1.000	     0.910	     0.910	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
happy boss day gifts	   136.000	     2.000	     0.015	     1.720	     1.720	    13.120	     0.131	    13.120	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
happy boss day gifts men	    14.000	     2.000	     0.143	     1.540	     1.540	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug worlds okayest boss	    68.000	     1.000	     0.015	     1.000	     1.000	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mugs for bosses day	   178.000	     3.000	     0.017	     2.010	     3.070	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
over size coffe mug 15 oz good boss	     1.000	     1.000	     1.000	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized mug about boss	     3.000	     1.000	     0.333	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
prime coffee stainless steel boss day mug	     1.000	     1.000	     1.000	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
sarcastic boss day gifts	     2.000	     1.000	     0.500	     0.860	     0.860	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
wizzard of oz boss's day gift ideas	     1.000	     1.000	     1.000	     0.940	     0.940	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds besr boss mug	   371.000	     3.000	     0.008	     2.390	     2.390	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss balloon	     8.000	     1.000	     0.125	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss for women	     3.000	     1.000	     0.333	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gifts for females	     1.000	     1.000	     1.000	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gifts for martini lovers	     3.000	     1.000	     0.333	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day microwaveable mug	     2.000	     1.000	     0.500	     0.530	     0.530	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day mug women	     1.000	     1.000	     1.000	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mugs set	     2.000	     1.000	     0.500	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny bosses day gift	     2.000	     1.000	     0.500	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift from best boss	     1.000	     1.000	     1.000	     0.740	     0.740	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
happy birthday mug for boss	     3.000	     1.000	     0.333	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
lady boss travel mug	   121.000	     2.000	     0.017	     1.440	     1.440	    13.120	     0.110	    16.200	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
oversized boss mug	     3.000	     1.000	     0.333	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized best boss day	     4.000	     1.000	     0.250	     0.530	     0.530	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
proud boss mug	    31.000	     2.000	     0.065	     1.660	     1.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
the office mugs tv show bosses day	     3.000	     1.000	     0.333	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss beer glass	     8.000	     1.000	     0.125	     0.750	     0.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss coffee mug for women	     2.000	     1.000	     0.500	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds the best boss	     1.000	     1.000	     1.000	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss ashley coffee mug	     6.000	     1.000	     0.167	     0.750	     0.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gift from the team	     6.000	     1.000	     0.167	     0.670	     0.670	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day travel mug	    18.000	     1.000	     0.056	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mugs with lidfor women	     1.000	     1.000	     1.000	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day gifts for men nfl	     1.000	     1.000	     1.000	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day travel mug	    13.000	     1.000	     0.077	     0.830	     0.830	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
greatest boss accounting mug	     1.000	     1.000	     1.000	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
lady boss day gifts	     3.000	     1.000	     0.333	     0.740	     0.740	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
lady boss day heat changing mugs	     1.000	     1.000	     1.000	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds okest boss mug	   121.000	     2.000	     0.017	     1.700	     1.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
15 oz boss mug unicorn	     4.000	     1.000	     0.250	     0.710	     0.710	    13.120	     0.054	    18.480	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
best boss mug for men	     6.000	     2.000	     0.333	     1.620	     1.620	    13.120	     0.123	    20.180	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
boss lady white mug	     4.000	     1.000	     0.250	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
female bosses day gifts	    10.000	     1.000	     0.100	     0.540	     0.540	    13.120	     0.041	    24.300	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
glittery boss coffee mug	     1.000	     1.000	     1.000	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug in my boss	     5.000	     1.000	     0.200	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
trump mug great boss	   115.000	     1.000	     0.009	     0.840	     0.840	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
#1 boss coffee mug	     4.000	     1.000	     0.250	     0.800	     0.800	    13.120	     0.061	    16.400	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
16 oz the boss coffee mug	     1.000	     1.000	     1.000	     0.170	     0.170	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
16oz the boss coffee mug	     6.000	     1.000	     0.167	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses day mug	    31.000	     2.000	     0.065	     1.390	     1.390	    13.880	     0.100	    23.530	     1.000	     1.000	   100.000	     1.000	     0.000	    13.880	     0.000
bosses mug	     7.000	     1.000	     0.143	     0.840	     0.840	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
enamel mug boss	     2.000	     1.000	     0.500	     0.750	     0.750	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
more than a boss day mugs	     1.000	     1.000	     1.000	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug for boss male	     1.000	     1.000	     1.000	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss day gifts	     5.000	     1.000	     0.200	     0.640	     0.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gifts for men tumbler	     8.000	     1.000	     0.125	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss google mug	     4.000	     1.000	     0.250	     0.850	     0.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss nutrition mug	     3.000	     1.000	     0.333	     0.830	     0.830	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mugs boss	    20.000	     2.000	     0.100	     1.810	     1.810	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifted the world's best boss ever coffee mug	     1.000	     1.000	     1.000	     0.680	     0.680	    13.120	     0.052	    19.290	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
greatest boss mug basket	     1.000	     1.000	     1.000	     0.350	     0.350	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
lady boss mugs women	    69.000	     5.000	     0.072	     3.910	     3.910	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
starbucks coffee mug for boss	     3.000	     2.000	     0.667	     0.780	     1.560	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
